is_delegated_op,event_block_name,event_name,p10 (ms),p50 (ms),p90 (ms),avg (ms),min (ms),max (ms),op_types,delegate_debug_identifier,delegate_backend_name,start_time
True,Execute,"Convolution (NHWC, F32) DWConv #8",0.09399999999999764,0.09399999999999764,0.09399999999999764,0.09399999999999764,0.09399999999999764,0.09399999999999764,[],"Convolution (NHWC, F32) DWConv #8",XnnpackBackend,[21898192]
True,Execute,"Fully Connected (NC, F32) GEMM #15",0.18400000000000105,0.18400000000000105,0.18400000000000105,0.18400000000000105,0.18400000000000105,0.18400000000000105,[],"Fully Connected (NC, F32) GEMM #15",XnnpackBackend,[21992192]
True,Execute,Add (ND) #4,0.134999999999998,0.134999999999998,0.134999999999998,0.134999999999998,0.134999999999998,0.134999999999998,[],Add (ND) #4,XnnpackBackend,[22176192]
True,Execute,"Fully Connected (NC, F32) GEMM #16",0.17700000000000315,0.17700000000000315,0.17700000000000315,0.17700000000000315,0.17700000000000315,0.17700000000000315,[],"Fully Connected (NC, F32) GEMM #16",XnnpackBackend,[22311192]
True,Execute,"Convolution (NHWC, F32) DWConv #9",0.13100000000000023,0.13100000000000023,0.13100000000000023,0.13100000000000023,0.13100000000000023,0.13100000000000023,[],"Convolution (NHWC, F32) DWConv #9",XnnpackBackend,[22488192]
True,Execute,"Fully Connected (NC, F32) GEMM #17",0.1039999999999992,0.1039999999999992,0.1039999999999992,0.1039999999999992,0.1039999999999992,0.1039999999999992,[],"Fully Connected (NC, F32) GEMM #17",XnnpackBackend,[22619192]
True,Execute,Add (ND) #5,0.09399999999999764,0.09399999999999764,0.09399999999999764,0.09399999999999764,0.09399999999999764,0.09399999999999764,[],Add (ND) #5,XnnpackBackend,[22723192]
True,Execute,"Fully Connected (NC, F32) GEMM #18",0.08699999999999974,0.08699999999999974,0.08699999999999974,0.08699999999999974,0.08699999999999974,0.08699999999999974,[],"Fully Connected (NC, F32) GEMM #18",XnnpackBackend,[22817192]
True,Execute,"Convolution (NHWC, F32) DWConv #10",0.10200000000000031,0.10200000000000031,0.10200000000000031,0.10200000000000031,0.10200000000000031,0.10200000000000031,[],"Convolution (NHWC, F32) DWConv #10",XnnpackBackend,[22904192]
True,Execute,"Fully Connected (NC, F32) GEMM #19",0.15500000000000114,0.15500000000000114,0.15500000000000114,0.15500000000000114,0.15500000000000114,0.15500000000000114,[],"Fully Connected (NC, F32) GEMM #19",XnnpackBackend,[23006192]
True,Execute,Add (ND) #6,0.2579999999999991,0.2579999999999991,0.2579999999999991,0.2579999999999991,0.2579999999999991,0.2579999999999991,[],Add (ND) #6,XnnpackBackend,[23161192]
True,Execute,"Fully Connected (NC, F32) GEMM #20",0.15700000000000003,0.15700000000000003,0.15700000000000003,0.15700000000000003,0.15700000000000003,0.15700000000000003,[],"Fully Connected (NC, F32) GEMM #20",XnnpackBackend,[23419192]
True,Execute,"Convolution (NHWC, F32) DWConv #11",0.13300000000000267,0.13300000000000267,0.13300000000000267,0.13300000000000267,0.13300000000000267,0.13300000000000267,[],"Convolution (NHWC, F32) DWConv #11",XnnpackBackend,[23576192]
